Location,Day,Hour,Weather,Exam_Week,Event_Day,Previous_Crowd,Crowd_Level
Canteen,Monday,18,Normal,No,No,Medium,High
Cafeteria,Monday,20,Normal,No,No,Low,Low
Cafeteria,Friday,15,Rain,No,No,Low,Low
Cafeteria,Tuesday,8,Hot,No,No,Medium,Medium
Bus Stop,Tuesday,11,Normal,No,Yes,Low,Medium
Cafeteria,Thursday,14,Normal,No,No,Low,Medium
Library,Tuesday,16,Normal,No,No,Low,Low
Library,Friday,9,Rain,Yes,No,Medium,High
Library,Saturday,13,Normal,No,No,Low,Medium
Bus Stop,Tuesday,9,Normal,No,No,Low,Medium
Canteen,Wednesday,8,Rain,No,No,Low,High
Sports Complex,Friday,19,Normal,Yes,No,Low,Medium
Sports Complex,Thursday,20,Normal,No,Yes,Low,Medium
Main Block,Thursday,10,Normal,No,No,Low,Low
Main Block,Wednesday,14,Normal,No,No,Low,Medium
Bus Stop,Thursday,12,Normal,Yes,No,High,High
Library,Thursday,16,Normal,No,Yes,Low,Medium
Cafeteria,Wednesday,17,Normal,No,No,Medium,High
Canteen,Monday,7,Normal,Yes,No,Low,Medium
Library,Monday,20,Normal,No,No,Low,Low
Canteen,Thursday,20,Hot,No,Yes,Medium,High
Canteen,Thursday,21,Normal,Yes,No,Low,Low
Canteen,Saturday,11,Normal,No,No,Low,Low
Canteen,Monday,17,Rain,Yes,No,Low,High
Bus Stop,Monday,14,Normal,No,No,Medium,Medium
Bus Stop,Monday,19,Normal,Yes,Yes,High,High
Library,Thursday,11,Normal,No,No,Low,Low
Bus Stop,Monday,13,Normal,No,No,Medium,High
Cafeteria,Thursday,9,Normal,No,Yes,Low,Medium
Library,Tuesday,13,Rain,No,No,Low,Medium
Sports Complex,Wednesday,20,Normal,No,No,Low,Medium
Main Block,Wednesday,7,Normal,No,Yes,Low,Medium
Library,Tuesday,19,Normal,No,No,Low,High
Cafeteria,Wednesday,16,Rain,No,No,Low,Low
Sports Complex,Thursday,19,Normal,No,Yes,Medium,High
Main Block,Saturday,20,Normal,No,No,Low,Low
Bus Stop,Thursday,9,Normal,Yes,No,Low,Medium
Main Block,Tuesday,14,Hot,No,No,Low,Low
Canteen,Friday,15,Rain,Yes,No,Low,Low
Cafeteria,Thursday,14,Normal,No,No,Medium,High
Canteen,Thursday,20,Rain,No,No,Low,Low
Main Block,Wednesday,12,Normal,No,No,Low,Medium
Sports Complex,Friday,18,Hot,No,No,Low,Medium
Bus Stop,Friday,14,Rain,No,No,Low,Medium
Canteen,Wednesday,20,Hot,No,No,Low,Low
Canteen,Wednesday,14,Normal,Yes,No,Medium,High
Library,Wednesday,14,Normal,No,No,Medium,High
Canteen,Wednesday,10,Normal,No,No,Low,Low
Library,Monday,10,Normal,No,No,Low,Low
Sports Complex,Tuesday,17,Normal,No,No,Low,Medium
Main Block,Monday,18,Rain,No,No,Low,Medium
Canteen,Monday,21,Normal,No,No,Low,Low
Bus Stop,Monday,14,Hot,Yes,Yes,Medium,High
Canteen,Thursday,7,Rain,Yes,Yes,Low,Medium
Main Block,Tuesday,18,Normal,Yes,No,Low,Medium
Canteen,Saturday,10,Normal,Yes,No,Low,Low
Sports Complex,Thursday,17,Normal,No,No,Low,Medium
Main Block,Friday,17,Normal,No,No,Low,Medium
Main Block,Friday,8,Normal,No,No,Low,Low
Canteen,Tuesday,16,Normal,Yes,No,Low,Medium
Canteen,Monday,19,Normal,No,No,Low,Medium
Library,Friday,20,Normal,No,No,Low,Low
Sports Complex,Wednesday,17,Rain,No,No,Low,Low
Sports Complex,Tuesday,15,Normal,No,No,Low,Low
Canteen,Saturday,17,Normal,No,No,Medium,High
Canteen,Thursday,14,Normal,No,No,Medium,Medium
Bus Stop,Thursday,19,Hot,No,Yes,High,High
Library,Saturday,7,Normal,No,No,Low,Low
Sports Complex,Friday,16,Hot,No,No,Low,Low
Canteen,Tuesday,20,Normal,No,No,Low,Medium
Sports Complex,Monday,15,Normal,No,Yes,Low,Medium
Bus Stop,Friday,20,Normal,No,No,Low,Low
Main Block,Friday,8,Normal,No,No,Low,Low
Canteen,Friday,10,Hot,No,No,Low,Low
Cafeteria,Thursday,17,Hot,No,Yes,High,High
Canteen,Wednesday,7,Normal,No,No,Low,Low
Main Block,Tuesday,11,Hot,Yes,No,Low,Low
Bus Stop,Friday,14,Normal,Yes,No,Medium,High
Main Block,Wednesday,20,Rain,No,No,Low,Low
Canteen,Friday,17,Rain,Yes,No,Medium,Medium
Sports Complex,Wednesday,18,Hot,Yes,No,Low,Low
Canteen,Tuesday,21,Normal,Yes,Yes,Medium,High
Library,Thursday,18,Normal,No,No,Low,Medium
Library,Monday,21,Hot,No,No,Low,Low
Main Block,Tuesday,11,Normal,No,Yes,Low,Medium
Sports Complex,Monday,20,Normal,No,No,Low,Low
Sports Complex,Thursday,13,Rain,No,No,Low,Low
Canteen,Friday,17,Normal,No,No,Medium,High
Canteen,Thursday,13,Hot,No,No,Low,High
Canteen,Wednesday,8,Normal,No,No,Low,Low
Cafeteria,Friday,16,Normal,No,No,Low,Low
Library,Wednesday,21,Hot,No,Yes,Low,Medium
Bus Stop,Wednesday,14,Hot,No,Yes,Medium,High
Bus Stop,Monday,13,Normal,Yes,No,Medium,High
Bus Stop,Friday,12,Normal,Yes,No,Medium,High
Main Block,Tuesday,18,Normal,No,No,Medium,High
Main Block,Thursday,8,Normal,No,No,Low,Low
Bus Stop,Wednesday,8,Rain,No,Yes,Medium,High
Canteen,Saturday,8,Normal,No,No,Low,Low
Main Block,Tuesday,10,Rain,Yes,No,Low,Low
Main Block,Friday,8,Normal,No,No,Low,Low
Main Block,Monday,15,Rain,Yes,No,Low,Low
Sports Complex,Monday,16,Normal,No,No,Low,Low
Bus Stop,Monday,17,Rain,No,No,Low,Medium
Bus Stop,Saturday,17,Normal,No,No,Medium,Medium
Library,Tuesday,8,Normal,Yes,No,Medium,High
Sports Complex,Saturday,21,Rain,No,No,Low,Low
Canteen,Saturday,9,Normal,No,No,Low,Low
Canteen,Thursday,19,Normal,No,No,Medium,High
Sports Complex,Monday,16,Rain,No,No,Low,Low
Bus Stop,Tuesday,16,Normal,No,Yes,Medium,High
Canteen,Tuesday,15,Normal,No,Yes,Medium,Medium
Sports Complex,Tuesday,10,Normal,No,No,Low,Low
Canteen,Wednesday,18,Hot,Yes,No,Medium,High
Sports Complex,Wednesday,20,Normal,No,No,Low,Low
Sports Complex,Tuesday,17,Normal,Yes,No,Medium,Medium
Canteen,Monday,9,Normal,No,No,Low,Medium
Main Block,Saturday,11,Normal,No,No,Low,Low
Library,Friday,12,Hot,No,No,Low,Medium
Bus Stop,Friday,14,Normal,No,No,Medium,Medium
Canteen,Wednesday,21,Normal,No,No,Low,Low
Sports Complex,Thursday,7,Normal,No,No,Low,Low
Cafeteria,Tuesday,9,Normal,Yes,No,Low,Medium
Cafeteria,Wednesday,9,Hot,No,No,Low,Medium
Cafeteria,Monday,11,Normal,No,No,Low,Low
Library,Monday,10,Normal,No,No,Low,Low
Bus Stop,Wednesday,7,Normal,No,No,Low,Medium
Canteen,Saturday,11,Normal,No,No,Low,Low
Cafeteria,Thursday,14,Normal,No,No,Medium,High
Bus Stop,Monday,18,Normal,Yes,No,Medium,High
Sports Complex,Saturday,8,Normal,No,No,Low,Low
Cafeteria,Wednesday,19,Normal,No,No,Medium,Medium
Bus Stop,Friday,7,Rain,No,No,Low,Low
Main Block,Friday,8,Normal,No,No,Low,Low
Bus Stop,Saturday,13,Normal,Yes,No,Low,Medium
Cafeteria,Thursday,13,Rain,No,No,Low,Low
Bus Stop,Friday,11,Hot,No,No,Low,Low
Library,Friday,20,Normal,Yes,No,Medium,High
Library,Wednesday,8,Normal,No,Yes,Medium,High
Main Block,Tuesday,12,Rain,Yes,Yes,Medium,High
Cafeteria,Monday,17,Normal,No,No,Medium,High
Cafeteria,Monday,15,Normal,No,No,Low,Low
Main Block,Thursday,11,Normal,No,No,Low,Low
Bus Stop,Monday,20,Normal,No,No,Low,Low
Main Block,Wednesday,15,Hot,No,No,Low,Low
Main Block,Wednesday,7,Normal,No,No,Low,Low
Canteen,Friday,10,Rain,No,No,Low,Low
Library,Monday,10,Normal,No,No,Low,Low
Sports Complex,Wednesday,13,Normal,Yes,No,Low,Medium
Library,Tuesday,16,Rain,No,No,Low,Low
Library,Thursday,14,Normal,No,No,Medium,High
Sports Complex,Monday,10,Hot,No,No,Low,Low
Cafeteria,Thursday,15,Normal,No,No,Low,Low
Library,Friday,14,Normal,No,No,Medium,Medium
Library,Tuesday,10,Normal,No,No,Low,Low
Cafeteria,Monday,9,Hot,No,No,Low,Low
Main Block,Saturday,11,Hot,No,No,Low,Low
Library,Thursday,15,Hot,Yes,Yes,Medium,High
Library,Thursday,9,Normal,Yes,No,Medium,High
Library,Thursday,10,Normal,Yes,No,Low,Medium
Main Block,Wednesday,18,Normal,No,No,Low,Medium
Library,Wednesday,18,Normal,No,No,Low,Low
Cafeteria,Thursday,14,Normal,No,No,Low,Medium
Canteen,Friday,8,Normal,No,No,Low,Low
Sports Complex,Friday,7,Normal,Yes,No,Low,Low
Sports Complex,Tuesday,19,Normal,No,No,Medium,Medium
Canteen,Friday,19,Normal,No,No,Low,High
Canteen,Monday,20,Normal,No,No,Low,Medium
Library,Wednesday,11,Normal,No,No,Low,Low
Library,Wednesday,14,Normal,No,No,Low,Medium
Canteen,Saturday,9,Normal,No,No,Low,Low
Bus Stop,Friday,19,Normal,No,No,Medium,High
Main Block,Friday,12,Normal,No,Yes,Medium,High
Bus Stop,Monday,19,Normal,No,No,Low,Medium
Sports Complex,Monday,11,Hot,No,No,Low,Low
Cafeteria,Tuesday,8,Normal,No,Yes,Low,Medium
Sports Complex,Saturday,13,Normal,Yes,No,Low,Medium
Canteen,Monday,19,Rain,No,No,Low,Medium
Library,Friday,10,Hot,No,No,Low,Low
Canteen,Wednesday,16,Normal,Yes,No,Low,Medium
Library,Saturday,10,Hot,Yes,No,Low,Low
Bus Stop,Friday,10,Normal,No,No,Low,Low
Canteen,Monday,8,Normal,Yes,No,Low,Medium
Bus Stop,Monday,10,Normal,No,Yes,Low,Medium
Cafeteria,Thursday,17,Rain,Yes,No,Low,High
Bus Stop,Tuesday,18,Normal,No,No,Medium,High
Canteen,Monday,18,Normal,No,Yes,Medium,High
Library,Saturday,18,Normal,No,No,Medium,Medium
Canteen,Monday,20,Normal,Yes,Yes,Medium,High
Canteen,Monday,12,Normal,No,No,Medium,High
Main Block,Thursday,9,Normal,Yes,No,Low,Medium
Library,Tuesday,20,Normal,No,No,Low,Medium
Main Block,Wednesday,10,Normal,No,No,Low,Low
Cafeteria,Wednesday,19,Normal,No,No,Medium,High
Bus Stop,Monday,13,Normal,No,No,Medium,Medium
Sports Complex,Friday,19,Normal,No,No,Medium,Medium
Main Block,Saturday,19,Normal,No,No,Low,Medium
Main Block,Thursday,19,Normal,No,No,Medium,High
Main Block,Thursday,11,Hot,No,No,Low,Low
Cafeteria,Friday,14,Normal,No,No,Medium,Low
Library,Wednesday,12,Normal,No,No,Low,Medium
Canteen,Saturday,7,Normal,Yes,No,Low,Low
Canteen,Monday,13,Normal,No,No,Low,Medium
Main Block,Tuesday,13,Normal,No,No,Low,Medium
Library,Tuesday,9,Normal,No,No,Low,Medium
Main Block,Friday,8,Normal,No,No,Low,Low
Sports Complex,Saturday,16,Normal,No,No,Low,Low
Canteen,Monday,18,Hot,No,No,Medium,High
Library,Monday,20,Hot,Yes,No,Medium,Medium
Library,Friday,9,Rain,Yes,No,Medium,Medium
Library,Friday,10,Normal,Yes,No,Medium,Medium
Bus Stop,Saturday,7,Normal,No,No,Low,Medium
Canteen,Thursday,13,Normal,No,Yes,Medium,High
Library,Monday,18,Rain,No,No,Low,Medium
Main Block,Wednesday,10,Normal,No,Yes,Medium,Medium
Bus Stop,Friday,7,Hot,No,No,Low,Low
Cafeteria,Tuesday,7,Normal,No,No,Low,Low
Main Block,Tuesday,7,Normal,Yes,No,Low,Low
Sports Complex,Tuesday,21,Rain,No,No,Low,Low
Cafeteria,Friday,20,Hot,No,No,Low,Low
Canteen,Thursday,9,Normal,Yes,No,Low,Medium
Main Block,Monday,21,Normal,No,Yes,Low,Medium
Cafeteria,Monday,14,Normal,No,No,Low,Medium
Library,Wednesday,7,Hot,No,Yes,Low,Medium
Library,Thursday,20,Normal,No,No,Low,Medium
Library,Monday,15,Normal,No,Yes,Low,Medium
Bus Stop,Friday,10,Normal,Yes,No,Low,Medium
Canteen,Saturday,16,Normal,Yes,No,Low,Low
Cafeteria,Tuesday,9,Hot,No,No,Low,Medium
Library,Friday,19,Normal,No,No,Medium,High
Bus Stop,Monday,14,Hot,No,No,Medium,Medium
Library,Saturday,17,Rain,No,No,Low,Medium
Canteen,Thursday,16,Hot,No,No,Low,Low
Sports Complex,Wednesday,16,Normal,No,No,Low,Low
Library,Friday,8,Normal,Yes,No,Medium,High
Canteen,Saturday,15,Hot,No,No,Low,Low
Main Block,Thursday,17,Hot,No,No,Low,Medium
Bus Stop,Friday,11,Normal,No,No,Low,Low
Cafeteria,Wednesday,15,Normal,Yes,No,Low,Low
Cafeteria,Monday,14,Normal,No,Yes,Medium,High
Cafeteria,Thursday,15,Normal,No,No,Low,Low
Bus Stop,Tuesday,15,Normal,Yes,No,Low,Low
Canteen,Tuesday,16,Normal,Yes,No,Low,Low
Cafeteria,Tuesday,8,Normal,No,No,Low,Medium
Bus Stop,Thursday,17,Normal,No,Yes,High,High
Sports Complex,Wednesday,18,Normal,No,No,Low,Medium
Canteen,Friday,15,Normal,Yes,No,Low,Low
Main Block,Tuesday,15,Rain,No,No,Low,Low
Cafeteria,Wednesday,20,Hot,Yes,No,Low,Medium
Sports Complex,Wednesday,19,Normal,No,Yes,Medium,High
Main Block,Friday,9,Normal,Yes,No,Low,Medium
Canteen,Saturday,17,Normal,No,Yes,Medium,High
Cafeteria,Wednesday,19,Hot,No,Yes,High,High
Cafeteria,Saturday,21,Normal,Yes,No,Low,Low
Canteen,Friday,17,Normal,Yes,No,Medium,High
Cafeteria,Tuesday,13,Normal,No,No,Low,Medium
Canteen,Saturday,20,Normal,No,No,Low,Low
Cafeteria,Friday,11,Rain,Yes,No,Low,Low
Sports Complex,Monday,20,Normal,No,No,Low,Low
Canteen,Wednesday,13,Normal,Yes,No,Low,High
Library,Thursday,10,Normal,No,No,Low,Low
Bus Stop,Tuesday,12,Rain,No,No,Low,Medium
Sports Complex,Wednesday,7,Hot,No,No,Low,High
Main Block,Wednesday,18,Rain,Yes,Yes,Medium,Medium
Bus Stop,Saturday,19,Rain,No,No,Low,Low
Cafeteria,Wednesday,12,Rain,No,Yes,Medium,High
Canteen,Thursday,17,Rain,No,No,Medium,Medium
Library,Wednesday,14,Rain,No,No,Medium,Medium
Cafeteria,Tuesday,17,Normal,No,No,Medium,High
Cafeteria,Thursday,10,Hot,No,No,Low,Low
Library,Tuesday,8,Normal,No,No,Low,Medium
Canteen,Friday,17,Hot,Yes,No,Medium,High
Cafeteria,Wednesday,21,Normal,No,No,Low,Low
Main Block,Thursday,15,Rain,No,Yes,Low,Low
Library,Monday,11,Normal,Yes,No,Medium,High
Main Block,Tuesday,10,Normal,No,No,Low,Low
Library,Monday,11,Rain,Yes,No,Low,Medium
Main Block,Monday,17,Normal,No,No,Low,High
Canteen,Monday,18,Rain,No,No,Low,Medium
Library,Monday,17,Normal,No,No,Medium,High
Main Block,Friday,21,Hot,No,No,Low,Low
Library,Thursday,14,Rain,No,No,Low,High
Library,Tuesday,9,Normal,No,No,Low,Medium
Cafeteria,Friday,10,Normal,Yes,No,Low,Low
Canteen,Thursday,17,Normal,No,No,Medium,High
Canteen,Wednesday,10,Normal,Yes,No,Low,Medium
Canteen,Wednesday,16,Normal,No,No,Low,Low
Cafeteria,Friday,11,Normal,No,No,Low,Low
Main Block,Tuesday,12,Normal,No,No,Low,Medium
Library,Thursday,17,Normal,No,No,Medium,High
Cafeteria,Saturday,12,Hot,No,No,Low,Medium
Sports Complex,Friday,14,Normal,No,No,Low,Low
Cafeteria,Friday,13,Rain,No,No,Medium,Medium
Cafeteria,Monday,17,Normal,No,No,Medium,High
Sports Complex,Monday,7,Hot,No,No,Low,Low
Sports Complex,Monday,13,Normal,Yes,Yes,High,High
Sports Complex,Tuesday,12,Normal,No,No,Low,Medium
Sports Complex,Wednesday,13,Normal,Yes,No,Low,Medium
Cafeteria,Friday,12,Normal,Yes,Yes,High,High
Main Block,Friday,18,Normal,Yes,No,Medium,High
Bus Stop,Tuesday,16,Normal,Yes,No,Low,Low
Library,Friday,8,Normal,No,Yes,Medium,High
Canteen,Thursday,14,Normal,Yes,No,Low,High
Library,Friday,17,Normal,No,No,Medium,High
Cafeteria,Thursday,7,Normal,No,No,Low,Low
Bus Stop,Saturday,10,Normal,No,No,Low,Low
Library,Saturday,21,Normal,No,No,Low,Low
Canteen,Monday,14,Rain,No,Yes,High,High
Cafeteria,Monday,12,Normal,No,No,Medium,High
Library,Saturday,16,Normal,No,No,Low,Low
Cafeteria,Thursday,9,Rain,No,No,Low,Low
Main Block,Friday,9,Normal,No,Yes,Medium,High
Canteen,Saturday,12,Rain,No,No,Low,Low
Cafeteria,Thursday,18,Normal,No,No,Medium,High
Bus Stop,Wednesday,13,Hot,No,No,Medium,High
Canteen,Wednesday,12,Rain,Yes,No,Medium,Medium
Cafeteria,Thursday,19,Rain,Yes,No,Low,Low
Bus Stop,Friday,16,Normal,No,No,Low,Low
Cafeteria,Wednesday,9,Normal,Yes,No,Low,Medium
Library,Monday,16,Rain,Yes,No,Low,Low
Cafeteria,Monday,15,Normal,Yes,No,Low,Medium
Bus Stop,Saturday,21,Rain,No,No,Low,Low
Cafeteria,Friday,14,Normal,No,No,Low,Medium
Canteen,Monday,10,Hot,No,No,Low,Low
Bus Stop,Tuesday,21,Hot,No,No,Low,Low
Library,Friday,13,Normal,No,No,Medium,Medium
Main Block,Monday,9,Normal,No,No,Low,Low
Canteen,Friday,16,Rain,No,Yes,Low,Medium
Bus Stop,Monday,10,Rain,No,No,Low,Low
Sports Complex,Thursday,20,Hot,No,Yes,Low,Low
Cafeteria,Tuesday,20,Hot,Yes,No,Low,Low
Main Block,Monday,8,Rain,No,No,Low,Low
Sports Complex,Monday,17,Rain,No,No,Low,Low
Cafeteria,Tuesday,10,Hot,Yes,No,Low,Low
Cafeteria,Wednesday,12,Normal,No,No,Medium,Medium
Main Block,Wednesday,10,Normal,Yes,No,Low,Low
Sports Complex,Wednesday,13,Normal,No,No,Low,Medium
Sports Complex,Friday,12,Normal,No,No,Low,Medium
Bus Stop,Tuesday,13,Normal,No,Yes,Medium,High
Bus Stop,Tuesday,12,Rain,No,Yes,Medium,High
Library,Tuesday,15,Normal,No,No,Low,Low
Sports Complex,Thursday,13,Normal,No,No,Low,Medium
Library,Monday,18,Normal,No,Yes,High,High
Main Block,Monday,7,Rain,Yes,No,Low,Low
Library,Friday,15,Hot,Yes,No,Medium,Medium
Main Block,Wednesday,14,Normal,Yes,No,Low,Medium
Main Block,Tuesday,21,Normal,No,No,Low,Low
Canteen,Wednesday,8,Normal,No,No,Low,High
Cafeteria,Wednesday,14,Normal,No,No,Medium,Medium
Sports Complex,Friday,19,Normal,Yes,No,Medium,Medium
Main Block,Tuesday,19,Normal,No,No,Low,Medium
Bus Stop,Friday,19,Rain,No,No,Low,Medium
Cafeteria,Friday,14,Normal,No,No,Low,Medium
Cafeteria,Saturday,17,Normal,Yes,No,Medium,High
Library,Friday,15,Normal,No,No,Low,Low
Library,Thursday,13,Hot,No,No,Medium,Medium
Main Block,Monday,7,Normal,No,No,Low,Low
Library,Thursday,14,Rain,Yes,No,Medium,High
Cafeteria,Friday,20,Normal,Yes,No,Low,Low
Main Block,Thursday,18,Normal,No,No,Medium,Medium
Library,Saturday,10,Normal,Yes,No,Low,Medium
Sports Complex,Thursday,18,Normal,Yes,Yes,Medium,High
Main Block,Friday,7,Normal,No,No,Low,Low
Canteen,Thursday,7,Normal,No,No,Low,Low
Canteen,Wednesday,17,Hot,Yes,No,High,High
Library,Monday,14,Normal,No,No,Medium,Medium
Sports Complex,Thursday,21,Normal,No,No,Low,Low
Main Block,Saturday,7,Rain,No,No,Low,Low
Library,Monday,21,Hot,No,No,Low,Low
Bus Stop,Friday,21,Normal,No,No,Low,Low
Canteen,Monday,21,Normal,Yes,No,Low,Medium
Library,Monday,11,Rain,No,No,Low,Low
Canteen,Wednesday,7,Hot,No,No,Low,Low
Canteen,Wednesday,16,Hot,No,No,Low,High
Cafeteria,Monday,7,Hot,No,No,Low,Medium
Main Block,Friday,7,Normal,No,No,Low,Low
Canteen,Monday,12,Normal,No,No,Medium,High
Cafeteria,Wednesday,11,Normal,No,No,Low,Low
Library,Friday,14,Normal,No,No,Medium,High
Bus Stop,Tuesday,20,Normal,No,No,Low,Low
Canteen,Wednesday,19,Hot,Yes,No,Medium,High
Cafeteria,Friday,15,Normal,No,No,Low,Low
Bus Stop,Monday,10,Hot,No,No,Low,High
Canteen,Friday,15,Normal,No,No,Low,Low
Bus Stop,Monday,15,Normal,No,No,Low,Low
Library,Thursday,7,Rain,No,No,Low,Medium
Bus Stop,Wednesday,16,Normal,Yes,No,Low,Low
Library,Friday,8,Rain,No,No,Low,Low
Sports Complex,Monday,15,Normal,No,No,Low,Low
Canteen,Monday,21,Normal,No,No,Low,Low
Canteen,Tuesday,8,Rain,No,No,Low,Low
Sports Complex,Wednesday,20,Normal,No,No,Low,Low
Cafeteria,Friday,10,Normal,No,No,Low,Low
Bus Stop,Saturday,7,Normal,No,No,Low,Low
Bus Stop,Wednesday,14,Normal,Yes,No,Medium,High
Main Block,Friday,10,Normal,No,No,Low,Low
Cafeteria,Friday,19,Normal,No,No,Medium,High
Bus Stop,Wednesday,7,Rain,No,No,Low,Low
Canteen,Tuesday,20,Normal,Yes,No,Low,Medium
Library,Monday,7,Rain,No,No,Low,Low
Cafeteria,Monday,21,Hot,No,No,Low,Low
Library,Saturday,11,Normal,Yes,No,Low,Medium
Main Block,Saturday,13,Rain,No,No,Low,Low
Library,Saturday,12,Normal,No,No,Low,Low
Library,Tuesday,21,Normal,Yes,No,Medium,Medium
Library,Wednesday,11,Normal,Yes,No,Medium,Medium
Cafeteria,Wednesday,12,Normal,No,No,Low,Medium
Cafeteria,Monday,21,Rain,No,No,Low,Low
Bus Stop,Tuesday,7,Normal,No,No,Low,Low
Library,Monday,8,Hot,Yes,No,Low,High
Bus Stop,Thursday,8,Normal,No,No,Medium,Medium
Sports Complex,Wednesday,13,Normal,No,No,Low,Medium
Library,Thursday,18,Rain,No,No,Low,Medium
Canteen,Tuesday,14,Normal,No,No,Medium,High
Main Block,Thursday,20,Rain,No,No,Low,Low
Main Block,Wednesday,14,Normal,No,No,Low,Medium
Main Block,Friday,15,Normal,No,Yes,Low,Low
Bus Stop,Tuesday,21,Normal,No,No,Low,Low
Bus Stop,Monday,15,Normal,No,No,Low,Low
Main Block,Wednesday,17,Hot,No,Yes,Medium,High
Main Block,Thursday,10,Hot,No,No,Low,Low
Cafeteria,Thursday,19,Normal,Yes,Yes,High,High
Bus Stop,Friday,7,Rain,No,No,Low,Low
Main Block,Saturday,14,Normal,No,No,Low,Medium
Canteen,Wednesday,15,Normal,No,Yes,Medium,Medium
Sports Complex,Wednesday,14,Normal,No,No,Low,Medium
Bus Stop,Monday,7,Normal,No,No,Low,Low
Canteen,Tuesday,11,Normal,Yes,No,Low,Medium
Sports Complex,Saturday,10,Rain,Yes,Yes,Low,Low
Sports Complex,Wednesday,11,Normal,No,No,Low,Low
Bus Stop,Monday,11,Normal,No,Yes,Medium,Medium
Canteen,Monday,8,Normal,No,No,Low,High
Bus Stop,Thursday,11,Rain,Yes,No,Low,Low
Bus Stop,Tuesday,13,Normal,No,No,Low,Medium
Library,Thursday,21,Rain,No,No,Low,Low
Bus Stop,Thursday,15,Rain,No,No,Low,Low
Library,Monday,19,Normal,No,No,Low,Medium
Canteen,Thursday,21,Normal,Yes,No,Low,Low
Cafeteria,Friday,15,Hot,No,No,Low,Low
Bus Stop,Monday,11,Hot,No,No,Low,Low
Sports Complex,Tuesday,21,Normal,No,Yes,Low,Medium
Cafeteria,Monday,14,Rain,Yes,No,Medium,Medium
Canteen,Friday,10,Rain,No,No,Low,Low
Cafeteria,Friday,7,Normal,No,No,Low,Medium
Library,Monday,21,Normal,No,No,Low,Low
Bus Stop,Thursday,16,Normal,Yes,No,Low,Medium
Cafeteria,Tuesday,9,Normal,Yes,No,Low,Medium
Library,Wednesday,12,Normal,Yes,No,High,High
Canteen,Thursday,17,Normal,No,No,Medium,Low
Sports Complex,Monday,13,Rain,No,No,Low,Low
Sports Complex,Thursday,20,Normal,No,Yes,Low,Medium
Bus Stop,Friday,21,Normal,No,Yes,Medium,Medium
Library,Tuesday,16,Normal,Yes,No,Medium,High
Canteen,Monday,10,Normal,No,No,Low,Low
Bus Stop,Thursday,11,Rain,No,No,Low,Low
Cafeteria,Tuesday,13,Rain,No,No,Low,Medium
Main Block,Thursday,17,Normal,No,No,Low,Medium
Canteen,Wednesday,12,Rain,Yes,No,Medium,High
Canteen,Thursday,20,Normal,No,No,Low,Low
Sports Complex,Saturday,12,Normal,No,No,Low,Low
Cafeteria,Friday,7,Rain,Yes,No,Low,Low
Sports Complex,Friday,21,Normal,Yes,No,Low,Low
Canteen,Thursday,8,Hot,No,Yes,Medium,High
Bus Stop,Thursday,8,Normal,No,No,Low,Medium
Canteen,Wednesday,20,Normal,No,No,Medium,Low
Canteen,Friday,7,Normal,No,Yes,Medium,High
Sports Complex,Friday,21,Normal,No,No,Low,Low
Library,Friday,13,Rain,No,No,Low,Low
Canteen,Saturday,12,Normal,No,No,Medium,Medium
Cafeteria,Tuesday,18,Normal,Yes,Yes,High,Medium
Cafeteria,Wednesday,14,Normal,No,Yes,Medium,High
Bus Stop,Friday,17,Rain,Yes,Yes,Medium,Medium
Sports Complex,Saturday,20,Normal,No,No,Low,Low
Canteen,Monday,21,Normal,No,No,Low,Low
Canteen,Monday,21,Rain,No,Yes,Low,Low
Library,Monday,8,Rain,No,No,Low,Low
Sports Complex,Friday,10,Normal,No,No,Low,Medium
Canteen,Saturday,18,Normal,Yes,No,Medium,Medium
Cafeteria,Thursday,15,Rain,Yes,No,Low,Low
Canteen,Tuesday,8,Normal,No,No,Low,Medium
Cafeteria,Saturday,11,Rain,No,No,Low,Low
Bus Stop,Monday,14,Normal,No,No,Medium,High
Canteen,Monday,12,Rain,No,No,Low,Medium
Library,Tuesday,11,Normal,No,No,Low,Low
Canteen,Thursday,13,Normal,No,Yes,Medium,High
Canteen,Tuesday,7,Rain,No,No,Low,Low
Bus Stop,Wednesday,9,Normal,No,No,Low,Medium
Bus Stop,Saturday,7,Rain,No,No,Low,Low
Canteen,Monday,15,Hot,No,No,Low,Low
Main Block,Tuesday,17,Rain,Yes,No,Low,Medium
Bus Stop,Wednesday,14,Rain,No,No,Low,Medium
Cafeteria,Thursday,11,Rain,No,No,Low,Low
Bus Stop,Monday,7,Normal,No,No,Low,Low
Library,Friday,17,Normal,Yes,Yes,High,High
Canteen,Tuesday,18,Hot,No,No,Medium,High
Sports Complex,Wednesday,10,Hot,No,No,Low,Low
Canteen,Monday,16,Hot,No,No,Low,Low
Sports Complex,Tuesday,15,Hot,No,No,Low,Low
Bus Stop,Tuesday,11,Hot,Yes,No,Low,Medium
Cafeteria,Saturday,16,Normal,Yes,No,Low,Low
Canteen,Wednesday,8,Normal,No,No,Low,Medium
Bus Stop,Monday,16,Normal,No,No,Low,Low
Main Block,Thursday,21,Hot,No,No,Low,Low
Sports Complex,Saturday,7,Normal,No,No,Low,Low
Library,Friday,14,Rain,No,No,Low,Medium
